Substrate,Slurry,Measurement,Time
6,3,1,0
6,2,1,0
6,1,1,0
5,3,1,0
5,2,1,0
5,1,1,0
4,3,1,0
4,2,1,0
4,1,1,0
3,3,1,0
3,2,1,0
3,1,1,0
2,3,1,0
2,2,1,0
2,1,1,0
1,3,1,0
1,2,1,0
1,1,1,0
6,3,2,31.71
6,2,2,33.21
6,1,2,34.71
5,3,2,0
5,2,2,0
5,1,2,0
4,3,2,0
4,2,2,0
4,1,2,0
3,3,2,0
3,2,2,0
3,1,2,0
2,3,2,0
2,2,2,0
2,1,2,0
1,3,2,0
1,2,2,0
1,1,2,0
6,3,3,117.61
6,2,3,119.11
6,1,3,120.61
5,3,3,37.18
5,2,3,38.68
5,1,3,40.18
4,3,3,0
4,2,3,0
4,1,3,0
3,3,3,0
3,2,3,0
3,1,3,0
2,3,3,0
2,2,3,0
2,1,3,0
1,3,3,0
1,2,3,0
1,1,3,0
6,3,4,203.62
6,2,4,205.12
6,1,4,206.62
5,3,4,123.19
5,2,4,124.69
5,1,4,126.19
4,3,4,38.84
4,2,4,40.34
4,1,4,41.84
3,3,4,0
3,2,4,0
3,1,4,0
2,3,4,0
2,2,4,0
2,1,4,0
1,3,4,0
1,2,4,0
1,1,4,0
6,3,5,289.36
6,2,5,290.86
6,1,5,292.36
5,3,5,208.93
5,2,5,210.43
5,1,5,211.93
4,3,5,124.58
4,2,5,126.08
4,1,5,127.58
3,3,5,47.07
3,2,5,48.57
3,1,5,50.07
2,3,5,0
2,2,5,0
2,1,5,0
1,3,5,0
1,2,5,0
1,1,5,0
6,3,6,370.5
6,2,6,372
6,1,6,373.5
5,3,6,290.07
5,2,6,291.57
5,1,6,293.07
4,3,6,205.72
4,2,6,207.22
4,1,6,208.72
3,3,6,128.21
3,2,6,129.71
3,1,6,131.21
2,3,6,47.09
2,2,6,48.59
2,1,6,50.09
1,3,6,0
1,2,6,0
1,1,6,0
6,3,7,466.18
6,2,7,467.68
6,1,7,469.18
5,3,7,385.75
5,2,7,387.25
5,1,7,388.75
4,3,7,301.4
4,2,7,302.9
4,1,7,304.4
3,3,7,223.89
3,2,7,225.39
3,1,7,226.89
2,3,7,142.77
2,2,7,144.27
2,1,7,145.77
1,3,7,51.18
1,2,7,52.68
1,1,7,54.18
6,3,8,533.79
6,2,8,535.29
6,1,8,536.79
5,3,8,453.36
5,2,8,454.86
5,1,8,456.36
4,3,8,369.01
4,2,8,370.51
4,1,8,372.01
3,3,8,291.5
3,2,8,293
3,1,8,294.5
2,3,8,210.38
2,2,8,211.88
2,1,8,213.38
1,3,8,118.79
1,2,8,120.29
1,1,8,121.79
6,3,9,889.58
6,2,9,891.08
6,1,9,892.58
5,3,9,809.15
5,2,9,810.65
5,1,9,812.15
4,3,9,724.8
4,2,9,726.3
4,1,9,727.8
3,3,9,647.29
3,2,9,648.79
3,1,9,650.29
2,3,9,566.17
2,2,9,567.67
2,1,9,569.17
1,3,9,474.58
1,2,9,476.08
1,1,9,477.58
6,3,10,1184.68
6,2,10,1186.18
6,1,10,1187.68
5,3,10,1104.25
5,2,10,1105.75
5,1,10,1107.25
4,3,10,1019.9
4,2,10,1021.4
4,1,10,1022.9
3,3,10,942.39
3,2,10,943.89
3,1,10,945.39
2,3,10,861.27
2,2,10,862.77
2,1,10,864.27
1,3,10,769.68
1,2,10,771.18
1,1,10,772.68
6,3,11,1775.41
6,2,11,1776.91
6,1,11,1778.41
5,3,11,1694.98
5,2,11,1696.48
5,1,11,1697.98
4,3,11,1610.63
4,2,11,1612.13
4,1,11,1613.63
3,3,11,1533.12
3,2,11,1534.62
3,1,11,1536.12
2,3,11,1452
2,2,11,1453.5
2,1,11,1455
1,3,11,1360.41
1,2,11,1361.91
1,1,11,1363.41
6,3,12,2666.87
6,2,12,2668.37
6,1,12,2669.87
5,3,12,2586.44
5,2,12,2587.94
5,1,12,2589.44
4,3,12,2502.09
4,2,12,2503.59
4,1,12,2505.09
3,3,12,2424.58
3,2,12,2426.08
3,1,12,2427.58
2,3,12,2343.46
2,2,12,2344.96
2,1,12,2346.46
1,3,12,2251.87
1,2,12,2253.37
1,1,12,2254.87
6,3,13,3431.96
6,2,13,3433.46
6,1,13,3434.96
5,3,13,3351.53
5,2,13,3353.03
5,1,13,3354.53
4,3,13,3267.18
4,2,13,3268.68
4,1,13,3270.18
3,3,13,3189.67
3,2,13,3191.17
3,1,13,3192.67
2,3,13,3108.55
2,2,13,3110.05
2,1,13,3111.55
1,3,13,3016.96
1,2,13,3018.46
1,1,13,3019.96
6,3,14,7031.96
6,2,14,7033.46
6,1,14,7034.96
5,3,14,6951.53
5,2,14,6953.03
5,1,14,6954.53
4,3,14,6867.18
4,2,14,6868.68
4,1,14,6870.18
3,3,14,6789.67
3,2,14,6791.17
3,1,14,6792.67
2,3,14,6708.55
2,2,14,6710.05
2,1,14,6711.55
1,3,14,6616.96
1,2,14,6618.46
1,1,14,6619.96
6,3,15,10631.96
6,2,15,10633.46
6,1,15,10634.96
5,3,15,10551.53
5,2,15,10553.03
5,1,15,10554.53
4,3,15,10467.18
4,2,15,10468.68
4,1,15,10470.18
3,3,15,10389.67
3,2,15,10391.17
3,1,15,10392.67
2,3,15,10308.55
2,2,15,10310.05
2,1,15,10311.55
1,3,15,10216.96
1,2,15,10218.46
1,1,15,10219.96
6,3,16,16691.96
6,2,16,16693.46
6,1,16,16694.96
5,3,16,16611.53
5,2,16,16613.03
5,1,16,16614.53
4,3,16,16527.18
4,2,16,16528.68
4,1,16,16530.18
3,3,16,16449.67
3,2,16,16451.17
3,1,16,16452.67
2,3,16,16368.55
2,2,16,16370.05
2,1,16,16371.55
1,3,16,16276.96
1,2,16,16278.46
1,1,16,16279.96
6,3,17,24011.96
6,2,17,24013.46
6,1,17,24014.96
5,3,17,23931.53
5,2,17,23933.03
5,1,17,23934.53
4,3,17,23847.18
4,2,17,23848.68
4,1,17,23850.18
3,3,17,23769.67
3,2,17,23771.17
3,1,17,23772.67
2,3,17,23688.55
2,2,17,23690.05
2,1,17,23691.55
1,3,17,23596.96
1,2,17,23598.46
1,1,17,23599.96
